"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Alitta williami","Villalobos-Guerrero & Bakken, 2018",1115984,"Animalia","Annelida","","Polychaeta","Phyllodocida","Nereidiformia",NA,"","Nereididae","Alitta",NA,"williami","","species","","","","iNaturalist","iNat:164180915","",NA,"","2023-05-27",2023,5,27,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",6,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",238
"Alitta williami","Villalobos-Guerrero & Bakken, 2018",1115984,"Animalia","Annelida","","Polychaeta","Phyllodocida","Nereidiformia",NA,"","Nereididae","Alitta",NA,"williami","","species","","","","iNaturalist","iNat:5796200","",NA,"","2017-04-17",2017,4,17,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",266,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",176
"Alitta williami","Villalobos-Guerrero & Bakken, 2018",1115984,"Animalia","Annelida","","Polychaeta","Phyllodocida","Nereidiformia",NA,"","Nereididae","Alitta",NA,"williami","","species","","","","iNaturalist","iNat:117396290","",NA,"","2022-05-16",2022,5,16,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",90
"Alitta williami","Villalobos-Guerrero & Bakken, 2018",1115984,"Animalia","Annelida","","Polychaeta","Phyllodocida","Nereidiformia",NA,"","Nereididae","Alitta",NA,"williami","","species","","","","iNaturalist","iNat:119177595","",NA,"","2022-05-28",2022,5,28,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",25,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",90
"Alitta williami","Villalobos-Guerrero & Bakken, 2018",1115984,"Animalia","Annelida","","Polychaeta","Phyllodocida","Nereidiformia",NA,"","Nereididae","Alitta",NA,"williami","","species","","","","iNaturalist","iNat:163049724","",NA,"","2023-05-21",2023,5,21,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",347
"Epigamia magna","(Berkeley, 1923)",628178,"Animalia","Annelida","","Polychaeta","Phyllodocida","Nereidiformia",NA,"","Syllidae","Epigamia",NA,"magna","","species","","","","iNaturalist","iNat:107323091","",NA,"","2022-02-22",2022,2,22,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",127
"Neoamphitrite robusta","(Johnson, 1901)",343700,"Animalia","Annelida","","Polychaeta","Terebellida","Terebelliformia",NA,"","Terebellidae","Neoamphitrite",NA,"robusta","","species","","","","iNaturalist","iNat:143065543","",NA,"","2022-11-26",2022,11,26,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",130
"Neoamphitrite robusta","(Johnson, 1901)",343700,"Animalia","Annelida","","Polychaeta","Terebellida","Terebelliformia",NA,"","Terebellidae","Neoamphitrite",NA,"robusta","","species","","","","iNaturalist","iNat:165842505","",NA,"","2023-06-04",2023,6,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",130
"Neoamphitrite robusta","(Johnson, 1901)",343700,"Animalia","Annelida","","Polychaeta","Terebellida","Terebelliformia",NA,"","Terebellidae","Neoamphitrite",NA,"robusta","","species","","","","iNaturalist","iNat:165842677","",NA,"","2023-06-04",2023,6,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",130
"Neoamphitrite robusta","(Johnson, 1901)",343700,"Animalia","Annelida","","Polychaeta","Terebellida","Terebelliformia",NA,"","Terebellidae","Neoamphitrite",NA,"robusta","","species","","","","iNaturalist","iNat:165858353","",NA,"","2023-06-04",2023,6,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",674,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",130
