"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Alcyonidium pedunculatum","Robertson, 1902","","smooth leather bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Ctenostomatida","Alcyonidiina","Alcyonidoidea","Alcyonidiidae","","","Alcyonidium","pedunculatum",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1994-02-26","Charlie Gibbs","PMLS","",NA,"","","","",873864,"LOP"
"Amathia sp.","","","tubeworm fuzz","Animalia","Bryozoa","","","Gymnolaemata","","","Ctenostomatida","Vesicularina","Vesicularioidea","Vesiculariidae","","","Amathia","",NA,"",NA,"","",NA,"reported","unobserved","2006-06-23","Andy Lamb","PMLS","",NA,"","","","",195986,"LOP"
"Bugulina californica","(Robertson, 1905)","","spiral bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Bugulina","californica",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",NA,"2017-05-26","Karolle Wall","iNat:7674532","",551808,"LOP"
"Caulibugula californica","Robertson, 1905","","parasol bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Caulibugula","californica",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2007-12-15","Andy Lamb","PMLS","",NA,"","","","",802658,"LOP"
"Cellaria diffusa","Robertson, 1905","","spindly rabbit-ear bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Cellarioidea","Cellariidae","","","Cellaria","diffusa",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1995-02-24","Charlie Gibbs","PMLS","",NA,"","","","",196077,"LOP"
"Celleporina robertsoniae","(Canu & Bassler, 1923)","","rusty bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Celleporoidea","Celleporidae","","","Celleporina","robertsoniae",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1997-04-15","Donna Gibbs","PMLS","",NA,"","","","misspelled Celleprina robertsoni",485340,"LOP"
"Cribrilina sp.","","","","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Cribrilinoidea","Cribrilinidae","","","Cribrilina","",NA,"",NA,"","",NA,"new 2019","observed","","","","",NA,"2019-05-04","Norah Brown","iNat:24539878","",203432,"LOP"
"Crisia sp.","","","white tuft bryozoans","Animalia","Bryozoa","","","Stenolaemata","","","Cyclostomatida","Articulina","","Crisiidae","","","Crisia","",NA,"",NA,"","",NA,"reported","unobserved","1985-07-29","Andy Lamb","PMLS","",NA,"","","","",192680,"LOP"
"Dendrobeania lichenoides","(Robertson, 1900)","","leaf crust bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Dendrobeania","lichenoides",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",NA,"2008-11-09","Neil McDaniel","iNat:97677174","",339213,"LOP"
"Dendrobeania murrayana","(Bean in Johnston, 1847)","","fan bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Dendrobeania","murrayana",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",205170,"LOP"
"Diaperoforma californica","(d'Orbigny, 1853)","","southern staghorn bryozoan","Animalia","Bryozoa","","","Stenolaemata","","","Cyclostomatida","Tubuliporina","","Diaperoeciidae","","","Diaperoforma","californica",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2023-06-27","Dave ""Zeuss"" Cochrane","iNat:169897164","",345872,"LOP"
"Disporella separata","Osburn, 1953","","purple encrusting bryozoan","Animalia","Bryozoa","","","Stenolaemata","","","Cyclostomatida","Rectangulata","","Lichenoporidae","","","Disporella","separata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1997-04-15","Donna Gibbs","PMLS","",NA,"","","","",465160,"LOP"
"Heteropora alaskensis","Borg, 1933","","delicate staghorn bryozoan","Animalia","Bryozoa","","","Stenolaemata","","","Cyclostomatida","Cerioporina","","Heteroporidae","","","Heteropora","alaskensis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-07-19","Andy Lamb","PMLS","",NA,"","","","",873902,"LOP"
"Heteropora pacifica","Borg, 1933","","northern staghorn bryozoan","Animalia","Bryozoa","","","Stenolaemata","","","Cyclostomatida","Cerioporina","","Heteroporidae","","","Heteropora","pacifica",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",NA,"2023-05-27","Dave ""Zeuss"" Cochrane","iNat:164585579","",465163,"LOP"
"Membranipora villosa","Hincks, 1880","","kelp-encrusting bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Malacostegina","Membraniporoidea","Membraniporidae","","","Membranipora","villosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",NA,"2016-08-17","Andrew Simon","iNat:3910076","reported as Membranipora serrilamella (synonymous)",360867,"LOP"
"Phidolopora pacifica","(Robertson, 1908)","","lattice-work bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Celleporoidea","Phidoloporidae","","","Phidolopora","pacifica",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2023-09-10","Dave ""Zeuss"" Cochrane","iNat:182740601","",51796,"LOP"
"Primavelans insculpta","(Hincks, 1883)","","fluted bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Schizoporelloidea","Pacificincolidae","","","Primavelans","insculpta",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1995-02-26","Charlie Gibbs","PMLS","",NA,"2008-11-09","Neil McDaniel","iNat:97569173","reported as Hippodiplosia insculpta",429861,"LOP"
"Schizoporella japonica","Ortmann, 1890","","orange ripple bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Schizoporelloidea","Schizoporellidae","","","Schizoporella","japonica",NA,"",NA,"non-native","unlisted",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2019-05-04","Joan Septembre","iNat:24768697","misspelled Schizoporella japonicus",519486,"LOP"
