"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:73718009","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",28,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:73718010","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",28,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:73718029","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",83,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:73718036","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",83,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:74472239","",NA,"","2021-04-18",2021,4,18,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",39,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",238
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:74472240","",NA,"","2021-04-18",2021,4,18,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",39,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",238
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:74472250","",NA,"","2021-04-18",2021,4,18,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",31,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",238
"Catablema vesicarium nodulosum","Bigelow, 1913",888777,"Animalia","Cnidaria","","Hydrozoa","Anthoathecata","Filifera",NA,"","Pandeidae","Catablema",NA,"vesicarium","nodulosum","subspecies","","","","iNaturalist","iNat:74472282","",NA,"","2021-04-18",2021,4,18,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",35,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",237
"Gonionemus vertens","A. Agassiz, 1862",501046,"Animalia","Cnidaria","","Hydrozoa","Limnomedusae","",NA,"","Olindiasidae","Gonionemus",NA,"vertens","","species","","","","iNaturalist","iNat:3706321","",NA,"","2013-07-07",2013,7,7,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",187,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",238
"Gonionemus vertens","A. Agassiz, 1862",501046,"Animalia","Cnidaria","","Hydrozoa","Limnomedusae","",NA,"","Olindiasidae","Gonionemus",NA,"vertens","","species","","","","iNaturalist","iNat:97205557","",NA,"","2009-07-09",2009,7,9,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",61,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",238
"Gonionemus vertens","A. Agassiz, 1862",501046,"Animalia","Cnidaria","","Hydrozoa","Limnomedusae","",NA,"","Olindiasidae","Gonionemus",NA,"vertens","","species","","","","iNaturalist","iNat:169325412","",NA,"","2023-06-24",2023,6,24,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",31,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",347
"Gonionemus vertens","A. Agassiz, 1862",501046,"Animalia","Cnidaria","","Hydrozoa","Limnomedusae","",NA,"","Olindiasidae","Gonionemus",NA,"vertens","","species","","","","iNaturalist","iNat:172112382","",NA,"","2023-07-09",2023,7,9,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",347
