"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Caprella mutica","Schurin, 1935",64634,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Caprelloidea","Caprellidae","Caprella",NA,"mutica","","species","","","","iNaturalist","iNat:24533497","",NA,"","2019-05-04",2019,5,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",3,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",130
"Caprella mutica","Schurin, 1935",64634,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Caprelloidea","Caprellidae","Caprella",NA,"mutica","","species","","","","iNaturalist","iNat:24697074","",NA,"","2019-05-04",2019,5,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",29,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",130
"Caprella mutica","Schurin, 1935",64634,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Caprelloidea","Caprellidae","Caprella",NA,"mutica","","species","","","","iNaturalist","iNat:156173571","",NA,"","2023-04-22",2023,4,22,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",31,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",108
"Caprella mutica","Schurin, 1935",64634,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Caprelloidea","Caprellidae","Caprella",NA,"mutica","","species","","","","iNaturalist","iNat:164755341","",NA,"","2022-08-20",2022,8,20,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",273,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",127
"Caprella mutica","Schurin, 1935",64634,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Caprelloidea","Caprellidae","Caprella",NA,"mutica","","species","","","","iNaturalist","iNat:167818575","",NA,"","2023-06-16",2023,6,16,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",31,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",108
"Crangon nigricauda","Stimpson, 1856",48812,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Crangonoidea","Crangonidae","Crangon",NA,"nigricauda","","species","","","","iNaturalist","iNat:55050598","",NA,"","2020-08-01",2020,8,1,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",16,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",130
"Crangon nigricauda","Stimpson, 1856",48812,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Crangonoidea","Crangonidae","Crangon",NA,"nigricauda","","species","","","","iNaturalist","iNat:13026269","",NA,"","2018-05-31",2018,5,31,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",31,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",238
"Grimothea quadrispina","(Benedict, 1902)",1427738,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Galatheoidea","Munididae","Grimothea",NA,"quadrispina","","species","","","","iNaturalist","iNat:28244312","",NA,"","2019-07-05",2019,7,5,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",1547,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",127
"Grimothea quadrispina","(Benedict, 1902)",1427738,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Galatheoidea","Munididae","Grimothea",NA,"quadrispina","","species","","","","iNaturalist","iNat:60468460","",NA,"","2008-05-24",2008,5,24,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",181
"Grimothea quadrispina","(Benedict, 1902)",1427738,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Galatheoidea","Munididae","Grimothea",NA,"quadrispina","","species","","","","iNaturalist","iNat:60468461","",NA,"","2008-05-24",2008,5,24,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",181
"Grimothea quadrispina","(Benedict, 1902)",1427738,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Galatheoidea","Munididae","Grimothea",NA,"quadrispina","","species","","","","iNaturalist","iNat:61341037","",NA,"","2009-10-03",2009,10,3,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",158
"Grimothea quadrispina","(Benedict, 1902)",1427738,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Galatheoidea","Munididae","Grimothea",NA,"quadrispina","","species","","","","iNaturalist","iNat:116334858","",NA,"","2008-05-22",2008,5,22,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",181
"Grimothea quadrispina","(Benedict, 1902)",1427738,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Galatheoidea","Munididae","Grimothea",NA,"quadrispina","","species","","","","iNaturalist","iNat:116334871","",NA,"","2008-05-22",2008,5,22,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",181
