"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Amphiodia periercta","H.L. Clark, 1911","","long-armed burrowing brittle star","Animalia","Echinodermata","Asterozoa","","Ophiuroidea","Myophiuroidea ","Ophintegrida ","Amphilepidida","Gnathophiurina ","Amphiuroidea","Amphiuridae","",NA,"Amphiodia","periercta",NA,"",NA,"native","unlisted","","1975-06-17","Philip Lambert","RBCM","975-00224-007",NA,"1975-06-17","Philip Lambert","RBCM","975-00224-007",NA,1,"reported","unobserved","",957349,"VAS"
"Apostichopus californicus","(Stimpson, 1857)","","giant sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Synallactida","","","Stichopodidae","",NA,"Apostichopus","californicus",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2022-11-26","Jared Connoy","iNaturalist","",NA,247,"confirmed","observed","",202640,"VAS"
"Ceramaster patagonicus","(Sladen, 1889)","","orange cookie star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Goniasteridae","",NA,"Ceramaster","patagonicus",NA,"",NA,"native","unlisted","","2008-05-22","Jackson W.F. Chu","iNaturalist","",NA,"2009-10-03","Jackson W.F. Chu","iNaturalist","",NA,4,"confirmed","observed","",537859,"VAS"
"Crossaster papposus","(Linnaeus, 1767)","","rose star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Solasteridae","",NA,"Crossaster","papposus",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2014-01-03","Andy Lamb","PMLS","",NA,89,"confirmed","unobserved","",192687,"VAS"
"Cucumaria miniata","(Brandt, 1835)","","red sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Cucumariidae","",NA,"Cucumaria","miniata",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2023-03-15","Andrew Simon","iNaturalist","",NA,215,"confirmed","observed","",117695,"VAS"
"Cucumaria pallida","Kirkendale & Lambert, 1995","","pale sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Cucumariidae","",NA,"Cucumaria","pallida",NA,"",NA,"native","unlisted","","2006-06-23","Andy Lamb","PMLS","",NA,"2021-03-02","Dave Zeuss Cochrane","iNaturalist","",NA,48,"confirmed","observed","",356416,"VAS"
"Cucumaria piperata","(Stimpson, 1864)","","salt & pepper sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Cucumariidae","",NA,"Cucumaria","piperata",NA,"",NA,"native","unlisted","","1994-10-07","Andy Lamb","PMLS","",NA,"2019-05-04","","iNaturalist","",NA,26,"confirmed","observed","",424353,"VAS"
"Dendraster excentricus","(Eschscholtz, 1831)","","eccentric sand dollar","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea","Neognathostomata","Clypeasteroida","Scutellina","Scutelloidea","Dendrasteridae","",NA,"Dendraster","excentricus",NA,"",NA,"native","unlisted","","1964-12-07","","RBCM","976-01146-014",NA,"2022-04-04","Dana","iNaturalist","",NA,7,"confirmed","observed","",117696,"VAS"
"Dermasterias imbricata","(Grube, 1857)","","leather star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Asteropseidae","",NA,"Dermasterias","imbricata",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2023-04-04","Dave Zeuss Cochrane","iNaturalist","",NA,305,"confirmed","observed","",63382,"VAS"
"Eupentacta quinquesemita","(Selenka, 1867)","","stiff-footed sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Sclerodactylidae","",NA,"Eupentacta","quinquesemita",NA,"",NA,"native","unlisted","","1969-02-22","Andy Lamb","PMLS","",NA,"2022-12-26","Dave Zeuss Cochrane","iNaturalist","",NA,129,"confirmed","observed","",51695,"VAS"
"Evasterias troschelii","(Stimpson, 1862)","","mottled star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","",NA,"Evasterias","troschelii",NA,"",NA,"native","unlisted","","1968-08-02","Andy Lamb","PMLS","",NA,"2023-04-04","Dave Zeuss Cochrane","iNaturalist","",NA,243,"confirmed","observed","",84265,"VAS"
