"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Acarnus erithacus","Laubenfels, 1927","","thick encrusting scarlet sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Acarnidae","",,"Acarnus","erithacus",,"",,"native","unlisted","","2008-08-29","Andy Lamb","PMLS","",,"2015-01-01","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",63669,"VAS"
"Amphilectus digitatus","(Miklucho-Maclay, 1870)","","glove sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","",,"Amphilectus","digitatus",,"",,"native","unlisted","","1981-05-31","Andy Lamb","PMLS","",,"2008-11-12","Andy Lamb","PMLS","",,6,"confirmed","unobserved","",459874,"VAS"
"Antho (Plocamia) karykina","(Laubenfels, 1927)","","bright red sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","",,"Antho","karykina",,"",,"native","unlisted","","1985-08-02","Andy Lamb","PMLS","",,"2012-08-09","Andy Lamb","PMLS","",,3,"reported","unobserved","reported as Plocamia karykina",345142,"VAS"
"Aphrocallistes vastus","Schulze, 1886","","cloud sponge","Animalia","Porifera","","","Hexactinellida ","Hexasterophora","","Sceptrulophora ","","","Aphrocallistidae ","",,"Aphrocallistes","vastus",,"",,"native","unlisted","","2007-10-23","Jackson W.F. Chu","iNaturalist","",,"2017-06-24","Jackson W.F. Chu","iNaturalist","",,89,"confirmed","observed","",424651,"VAS"
"Aplysilla polyraphis","Laubenfels, 1930","","slippery purple sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","",,"Aplysilla","polyraphis",,"",,"native","unlisted","","2008-11-12","Andy Lamb","PMLS","",,"2009-10-10","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",216652,"VAS"
"Aplysilla sp.","","","slippery rose sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","",,"Aplysilla","",,"",,"","","","1985-08-02","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,19,"confirmed","unobserved","undescribed species",63646,"VAS"
"Clathria (Microciona) pennata","(Lambe, 1895)","","red velvety sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","",,"Clathria","pennata",,"",,"native","unlisted","","1971-08-21","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,173,"reported","unobserved","",63672,"VAS"
"Clathrina sp.","","","lattice-skin sponge","Animalia","Porifera","","","Calcarea","Calcinea","","Clathrinida","","","Clathrinidae","",,"Clathrina","",,"",,"","","","2017-06-30","Andy Lamb","PMLS","",,"2017-06-30","Andy Lamb","PMLS","",,1,"new 2017","unobserved","",122021,"VAS"
"Cliona californiana","Laubenfels, 1932","","yellow boring sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Clionaida","","","Clionaidae","",,"Cliona","californiana",,"",,"native","unlisted","","1973-09-20","Andy Lamb","PMLS","",,"2021-03-07","Dave Zeuss Cochrane","iNaturalist","",,169,"confirmed","observed","",424811,"VAS"
"Craniella villosa","Lambe, 1893","","tennis ball sponge","Animalia","Porifera","","","Demospongiae","Tetractinomorpha","","Spirophorida","","","Tetillidae","",,"Craniella","villosa",,"",,"native","unlisted","","1985-08-02","Andy Lamb","PMLS","",,"2016-02-18","Andy Lamb","PMLS","",,32,"confirmed","observed","",459732,"VAS"
